EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E02387,Emily Davis,Sr. Manger,IT,Research & Development,Female,Black,55,08-04-16,"$141,604 ",15% ,United States,Seattle,16-10-21
E04105,Theodore Dinh,Technical Architect,IT,Manufacturing,Male,Asian,59,29-11-97,"$99,975 ",0% ,China,Chongqing,
E02572,Luna Sanders,Director,Finance,Speciality Products,Female,Caucasian,50,26-10-06,"$163,099 ",20% ,United States,Chicago,
E02832,Penelope Jordan,Computer Systems Manager,IT,Manufacturing,Female,Caucasian,26,27-09-19,"$84,913 ",7% ,United States,Chicago,
E01639,Austin Vo,Sr. Analyst,Finance,Manufacturing,Male,Asian,55,20-11-95,"$95,409 ",0% ,United States,Phoenix,
E00644,Joshua Gupta,Account Representative,Sales,Corporate,Male,Asian,57,24-01-17,"$50,994 ",0% ,China,Chongqing,
E01550,Ruby Barnes,Manager,IT,Corporate,Female,Caucasian,27,01-07-20,"$119,746 ",10% ,United States,Phoenix,
E04332,Luke Martin,Analyst,Finance,Manufacturing,Male,Black,25,16-05-20,"$41,336 ",0% ,United States,Miami,20-05-21
E04533,Easton Bailey,Manager,Accounting,Manufacturing,Male,Caucasian,29,25-01-19,"$113,527 ",6% ,United States,Austin,
E03838,Madeline Walker,Sr. Analyst,Finance,Speciality Products,Female,Caucasian,34,13-06-18,"$77,203 ",0% ,United States,Chicago,
E00591,Savannah Ali,Sr. Manger,Human Resources,Manufacturing,Female,Asian,36,11-02-09,"$157,333 ",15% ,United States,Miami,
E03344,Camila Rogers,Controls Engineer,Engineering,Speciality Products,Female,Caucasian,27,21-10-21,"$109,851 ",0% ,United States,Seattle,
E00530,Eli Jones,Manager,Human Resources,Manufacturing,Male,Caucasian,59,14-03-99,"$105,086 ",9% ,United States,Austin,
E04239,Everleigh Ng,Sr. Manger,Finance,Research & Development,Female,Asian,51,10-06-21,"$146,742 ",10% ,China,Shanghai,
E03496,Robert Yang,Sr. Analyst,Accounting,Speciality Products,Male,Asian,31,04-11-17,"$97,078 ",0% ,United States,Austin,09-03-20
E00549,Isabella Xi,Vice President,Marketing,Research & Development,Female,Asian,41,13-03-13,"$249,270 ",30% ,United States,Seattle,
E00163,Bella Powell,Director,Finance,Research & Development,Female,Black,65,04-03-02,"$175,837 ",20% ,United States,Phoenix,
E00884,Camila Silva,Sr. Manger,Marketing,Speciality Products,Female,Latino,64,01-12-03,"$154,828 ",13% ,United States,Seattle,
E04116,David Barnes,Director,IT,Corporate,Male,Caucasian,64,03-11-13,"$186,503 ",24% ,United States,Columbus,
E04625,Adam Dang,Director,Sales,Research & Development,Male,Asian,45,09-07-02,"$166,331 ",18% ,China,Chongqing,
E03680,Elias Alvarado,Sr. Manger,IT,Manufacturing,Male,Latino,56,09-01-12,"$146,140 ",10% ,Brazil,Manaus,
E04732,Eva Rivera,Director,Sales,Manufacturing,Female,Latino,36,02-04-21,"$151,703 ",21% ,United States,Miami,
E03484,Logan Rivera,Director,IT,Research & Development,Male,Latino,59,24-05-02,"$172,787 ",28% ,Brazil,Rio de Janerio,
E00671,Leonardo Dixon,Analyst,Sales,Speciality Products,Male,Caucasian,37,05-09-19,"$49,998 ",0% ,United States,Seattle,
E02071,Mateo Her,Vice President,Sales,Speciality Products,Male,Asian,44,02-03-14,"$207,172 ",31% ,China,Chongqing,
E02206,Jose Henderson,Director,Human Resources,Speciality Products,Male,Black,41,17-04-15,"$152,239 ",23% ,United States,Columbus,
E04545,Abigail Mejia,Quality Engineer,Engineering,Corporate,Female,Latino,56,05-02-05,"$98,581 ",0% ,Brazil,Rio de Janerio,
E00154,Wyatt Chin,Vice President,Engineering,Speciality Products,Male,Asian,43,07-06-04,"$246,231 ",31% ,United States,Seattle,
E03343,Carson Lu,Engineering Manager,Engineering,Speciality Products,Male,Asian,64,04-12-96,"$99,354 ",12% ,China,Beijing,
E00304,Dylan Choi,Vice President,IT,Corporate,Male,Asian,63,11-05-12,"$231,141 ",34% ,China,Beijing,
E02594,Ezekiel Kumar,IT Coordinator,IT,Research & Development,Male,Asian,28,25-06-17,"$54,775 ",0% ,United States,Columbus,
E00402,Dominic Guzman,Analyst,Finance,Manufacturing,Male,Latino,65,16-05-04,"$55,499 ",0% ,Brazil,Manaus,
E01994,Angel Powell,Analyst II,Sales,Research & Development,Male,Caucasian,61,11-07-08,"$66,521 ",0% ,United States,Seattle,
E03549,Mateo Vu,Account Representative,Sales,Speciality Products,Male,Asian,30,29-09-16,"$59,100 ",0% ,China,Chongqing,
E03247,Caroline Jenkins,Analyst,Finance,Research & Development,Female,Caucasian,27,06-05-18,"$49,011 ",0% ,United States,Chicago,
E02074,Nora Brown,Enterprise Architect,IT,Manufacturing,Female,Caucasian,32,11-02-14,"$99,575 ",0% ,United States,Austin,
E04152,Adeline Huang,Controls Engineer,Engineering,Manufacturing,Female,Asian,34,16-12-19,"$99,989 ",0% ,China,Chengdu,
E01628,Jackson Perry,Vice President,Marketing,Research & Development,Male,Caucasian,27,20-10-19,"$256,420 ",30% ,United States,Phoenix,
E04285,Riley Padilla,Technical Architect,IT,Manufacturing,Female,Latino,35,15-05-13,"$78,940 ",0% ,United States,Miami,
E01417,Leah Pena,Enterprise Architect,IT,Corporate,Female,Latino,57,03-01-94,"$82,872 ",0% ,Brazil,Manaus,
E01754,Owen Lam,Sr. Business Partner,Human Resources,Speciality Products,Male,Asian,30,29-05-17,"$86,317 ",0% ,China,Chengdu,16-07-17
E03749,Kennedy Foster,Manager,Marketing,Speciality Products,Female,Caucasian,53,23-11-13,"$113,135 ",5% ,United States,Austin,
E03574,John Moore,Vice President,IT,Speciality Products,Male,Caucasian,52,08-11-05,"$199,808 ",32% ,United States,Seattle,
E04600,William Vu,Account Representative,Sales,Speciality Products,Male,Asian,37,14-11-13,"$56,037 ",0% ,China,Shanghai,
E00586,Sadie Washington,Sr. Manger,Marketing,Research & Development,Female,Caucasian,29,24-05-19,"$122,350 ",12% ,United States,Phoenix,
E03538,Gabriel Holmes,Enterprise Architect,IT,Research & Development,Male,Caucasian,40,04-11-10,"$92,952 ",0% ,United States,Seattle,
E02185,Wyatt Rojas,Computer Systems Manager,IT,Corporate,Male,Latino,32,20-03-13,"$79,921 ",5% ,United States,Austin,
E03830,Eva Coleman,Director,IT,Research & Development,Female,Black,37,20-09-09,"$167,199 ",20% ,United States,Seattle,
E03720,Dominic Clark,Quality Engineer,Engineering,Research & Development,Male,Caucasian,52,17-10-12,"$71,476 ",0% ,United States,Phoenix,
E03025,Lucy Alexander,Director,Engineering,Manufacturing,Female,Caucasian,45,29-10-14,"$189,420 ",20% ,United States,Seattle,
E04917,Everleigh Washington,HRIS Analyst,Human Resources,Research & Development,Female,Caucasian,64,20-10-01,"$64,057 ",0% ,United States,Phoenix,
E00415,Leilani Butler,Analyst II,Marketing,Manufacturing,Female,Black,27,21-09-21,"$68,728 ",0% ,United States,Phoenix,
E02862,Peyton Huang,Sr. Manger,IT,Manufacturing,Female,Asian,25,02-07-21,"$125,633 ",11% ,China,Beijing,
E04207,John Contreras,Analyst II,Marketing,Manufacturing,Male,Latino,35,15-05-11,"$66,889 ",0% ,United States,Columbus,
E02139,Rylee Yu,Director,Accounting,Research & Development,Female,Asian,36,29-09-15,"$178,700 ",29% ,United States,Seattle,
E01797,Piper Lewis,Field Engineer,Engineering,Research & Development,Female,Caucasian,33,22-12-18,"$83,990 ",0% ,United States,Chicago,
E01839,Stella Alexander,Automation Engineer,Engineering,Corporate,Female,Caucasian,52,10-12-05,"$102,043 ",0% ,United States,Chicago,
E01633,Addison Do,Operations Engineer,Engineering,Manufacturing,Female,Asian,46,30-05-01,"$90,678 ",0% ,United States,Columbus,
E01848,Zoey Jackson,Business Partner,Human Resources,Manufacturing,Female,Black,46,21-08-08,"$59,067 ",0% ,United States,Miami,
E00716,John Chow,Sr. Manger,Marketing,Research & Development,Male,Asian,45,11-03-21,"$135,062 ",15% ,China,Chengdu,
